month,date,rise,set
4,28,04:59,18:48
4,29,04:57,18:50
4,30,04:56,18:51
5,1,04:55,18:52
5,2,04:53,18:53
5,3,04:52,18:54
5,4,04:51,18:55
5,5,04:50,18:56
5,6,04:49,18:57
5,7,04:47,18:58
5,8,04:46,18:59
5,9,04:45,19:00
5,10,04:44,19:01
5,11,04:43,19:02
5,12,04:42,19:03
5,13,04:41,19:04
5,14,04:40,19:05
5,15,04:39,19:06
5,16,04:38,19:07
5,17,04:37,19:08
5,18,04:36,19:09
5,19,04:35,19:10
5,20,04:34,19:10
5,21,04:34,19:11
5,22,04:33,19:12
5,23,04:32,19:13
5,24,04:31,19:14
5,25,04:31,19:15
5,26,04:30,19:16
5,27,04:29,19:17
5,28,04:29,19:17
5,29,04:28,19:18
5,30,04:28,19:19
5,31,04:27,19:20
6,1,04:27,19:21
6,2,04:26,19:21
6,3,04:26,19:22
6,4,04:26,19:23
6,5,04:25,19:23
6,6,04:25,19:24
6,7,04:25,19:25
6,8,04:25,19:25
6,9,04:24,19:26
6,10,04:24,19:26
6,11,04:24,19:27
6,12,04:24,19:27
6,13,04:24,19:28
6,14,04:24,19:28
6,15,04:24,19:29
6,16,04:24,19:29
6,17,04:24,19:29
6,18,04:24,19:30
6,19,04:24,19:30
6,20,04:24,19:30
6,21,04:25,19:30
6,22,04:25,19:31
6,23,04:25,19:31
6,24,04:25,19:31
6,25,04:26,19:31
6,26,04:26,19:31
6,27,04:26,19:31
6,28,04:27,19:31
6,29,04:27,19:31
6,30,04:28,19:31
7,1,04:28,19:31
7,2,04:29,19:31
7,3,04:29,19:30
7,4,04:30,19:30
7,5,04:30,19:30
7,6,04:31,19:30
7,7,04:31,19:29
7,8,04:32,19:29
7,9,04:33,19:29
7,10,04:33,19:28
7,11,04:34,19:28
7,12,04:35,19:27
7,13,04:36,19:27
7,14,04:36,19:26
7,15,04:37,19:26
7,16,04:38,19:25
7,17,04:39,19:25
7,18,04:40,19:24
7,19,04:40,19:23
7,20,04:41,19:22
7,21,04:42,19:22
7,22,04:43,19:21
7,23,04:44,19:20
7,24,04:45,19:19
7,25,04:46,19:18
7,26,04:46,19:17
7,27,04:47,19:16
7,28,04:48,19:15
7,29,04:49,19:15
7,30,04:50,19:13
7,31,04:51,19:12
8,1,04:52,19:11
8,2,04:53,19:10
8,3,04:54,19:09
8,4,04:55,19:08
8,5,04:56,19:07
8,6,04:57,19:06
8,7,04:58,19:04
8,8,04:59,19:03
8,9,05:00,19:02
8,10,05:01,19:01
8,11,05:02,18:59
8,12,05:03,18:58
8,13,05:04,18:57
8,14,05:05,18:55
8,15,05:06,18:54
8,16,05:07,18:53
8,17,05:08,18:51
8,18,05:09,18:50
8,19,05:10,18:48
8,20,05:11,18:47
8,21,05:12,18:45
8,22,05:13,18:44
8,23,05:14,18:42
8,24,05:15,18:41
8,25,05:16,18:39
8,26,05:17,18:38
8,27,05:17,18:36
8,28,05:18,18:35
8,29,05:19,18:33
8,30,05:20,18:32
8,31,05:21,18:30
9,1,05:22,18:28
9,2,05:23,18:27
9,3,05:24,18:25
9,4,05:25,18:23
9,5,05:26,18:22
9,6,05:27,18:20
9,7,05:28,18:19
9,8,05:29,18:17
9,9,05:30,18:15
9,10,05:31,18:14
9,11,05:32,18:12
9,12,05:33,18:10
9,13,05:34,18:08
9,14,05:35,18:07
9,15,05:36,18:05
9,16,05:37,18:03
9,17,05:38,18:02
9,18,05:39,18:00
9,19,05:40,17:58
9,20,05:41,17:57
9,21,05:42,17:55
9,22,05:43,17:53
9,23,05:44,17:52
9,24,05:45,17:50
9,25,05:46,17:48
9,26,05:47,17:47
9,27,05:48,17:45
9,28,05:49,17:43
9,29,05:50,17:42
9,30,05:51,17:40
10,1,05:52,17:38
10,2,05:53,17:37
10,3,05:54,17:35
10,4,05:55,17:33
10,5,05:56,17:32
10,6,05:57,17:30
10,7,05:58,17:28
10,8,05:59,17:27
10,9,06:00,17:25
10,10,06:01,17:24
10,11,06:02,17:22
10,12,06:03,17:20
10,13,06:04,17:19
10,14,06:05,17:17
10,15,06:07,17:16
10,16,06:08,17:14
10,17,06:09,17:13
10,18,06:10,17:11
10,19,06:11,17:10
10,20,06:12,17:08
10,21,06:13,17:07
10,22,06:14,17:05
10,23,06:15,17:04
10,24,06:16,17:03
10,25,06:18,17:01
10,26,06:19,17:00
10,27,06:20,16:59
10,28,06:21,16:57
10,29,06:22,16:56
10,30,06:23,16:55
10,31,06:25,16:54
11,1,06:26,16:52
11,2,06:27,16:51
11,3,06:28,16:50
11,4,06:29,16:49
11,5,06:30,16:48
11,6,06:32,16:47
11,7,06:33,16:46
11,8,06:34,16:44
11,9,06:35,16:43
11,10,06:36,16:42
11,11,06:37,16:41
11,12,06:39,16:41
11,13,06:40,16:40
11,14,06:41,16:39
11,15,06:42,16:38
11,16,06:43,16:37
11,17,06:45,16:36
11,18,06:46,16:36
11,19,06:47,16:35
11,20,06:48,16:34
11,21,06:49,16:34
11,22,06:50,16:33
11,23,06:51,16:32
11,24,06:53,16:32
11,25,06:54,16:31
11,26,06:55,16:31
11,27,06:56,16:30
11,28,06:57,16:30
11,29,06:58,16:30
11,30,06:59,16:29
12,1,07:00,16:29
12,2,07:01,16:29
12,3,07:02,16:29
12,4,07:03,16:28
12,5,07:04,16:28
12,6,07:05,16:28
12,7,07:06,16:28
12,8,07:07,16:28
12,9,07:08,16:28
12,10,07:09,16:28
12,11,07:09,16:28
12,12,07:10,16:28
12,13,07:11,16:29
12,14,07:12,16:29
12,15,07:12,16:29
12,16,07:13,16:29
12,17,07:14,16:30
12,18,07:14,16:30
12,19,07:15,16:30
12,20,07:16,16:31
12,21,07:16,16:31
12,22,07:17,16:32
12,23,07:17,16:32
12,24,07:17,16:33
12,25,07:18,16:34
12,26,07:18,16:34
12,27,07:19,16:35
12,28,07:19,16:36
12,29,07:19,16:36
12,30,07:19,16:37
12,31,07:20,16:38
